기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2010,서울특별시 용산구 청파동(1117055500),여    ,12266,1246,9487,5660,1533,978,422,133
2010,서울특별시 용산구 원효로제1동(1117056000),계    ,10979,1355,8410,5262,1214,800,319,95
2010,서울특별시 용산구 원효로제1동(1117056000),남    ,5517,696,4297,2742,524,359,137,28
2010,서울특별시 용산구 원효로제1동(1117056000),여    ,5462,659,4113,2520,690,441,182,67
2010,서울특별시 용산구 원효로제2동(1117057000),계    ,16222,2575,11860,7076,1787,1142,520,125
2010,서울특별시 용산구 원효로제2동(1117057000),남    ,7764,1247,5807,3530,710,487,185,38
2010,서울특별시 용산구 원효로제2동(1117057000),여    ,8458,1328,6053,3546,1077,655,335,87
2010,서울특별시 용산구 효창동(1117058000),계    ,11386,1669,8387,4991,1330,878,347,105
2010,서울특별시 용산구 효창동(1117058000),남    ,5532,878,4096,2461,558,384,141,33
2010,서울특별시 용산구 효창동(1117058000),여    ,5854,791,4291,2530,772,494,206,72
2010,서울특별시 용산구 용문동(1117059000),계    ,13433,1994,9925,5975,1514,1012,400,102
2010,서울특별시 용산구 용문동(1117059000),남    ,6612,1018,4943,3050,651,467,147,37
2010,서울특별시 용산구 용문동(1117059000),여    ,6821,976,4982,2925,863,545,253,65
2010,서울특별시 용산구 한강로동(1117062500),계    ,16021,1539,12219,6934,2263,1423,640,200
2010,서울특별시 용산구 한강로동(1117062500),남    ,8040,793,6229,3595,1018,701,252,65
2010,서울특별시 용산구 한강로동(1117062500),여    ,7981,746,5990,3339,1245,722,388,135
2010,서울특별시 용산구 이촌제1동(1117063000),계    ,27385,5167,18929,11507,3289,1901,1110,278
2010,서울특별시 용산구 이촌제1동(1117063000),남    ,12774,2617,8787,5235,1370,803,463,104
2010,서울특별시 용산구 이촌제1동(1117063000),여    ,14611,2550,10142,6272,1919,1098,647,174
2010,서울특별시 용산구 이촌제2동(1117064000),계    ,10609,1381,7810,4511,1418,937,380,101
2010,서울특별시 용산구 이촌제2동(1117064000),남    ,5098,707,3845,2257,546,392,132,22
2010,서울특별시 용산구 이촌제2동(1117064000),여    ,5511,674,3965,2254,872,545,248,79
2010,서울특별시 용산구 이태원제1동(1117065000),계    ,8739,756,6597,3828,1386,848,423,115
2010,서울특별시 용산구 이태원제1동(1117065000),남    ,4011,387,3101,1868,523,327,157,39
2010,서울특별시 용산구 이태원제1동(1117065000),여    ,4728,369,3496,1960,863,521,266,76
2010,서울특별시 용산구 이태원제2동(1117066000),계    ,11441,1212,8493,5071,1736,1138,471,127
2010,서울특별시 용산구 이태원제2동(1117066000),남    ,5409,609,4082,2502,718,490,186,42
2010,서울특별시 용산구 이태원제2동(1117066000),여    ,6032,603,4411,2569,1018,648,285,85
2010,서울특별시 용산구 한남동(1117068500),계    ,23030,2151,17949,11247,2930,1939,782,209
2010,서울특별시 용산구 한남동(1117068500),남    ,11136,1098,8810,5643,1228,879,278,71
2010,서울특별시 용산구 한남동(1117068500),여    ,11894,1053,9139,5604,1702,1060,504,138
2010,서울특별시 용산구 서빙고동(1117069000),계    ,11479,1566,8211,4750,1702,1054,533,115
2010,서울특별시 용산구 서빙고동(1117069000),남    ,5529,789,4016,2345,724,441,236,47
2010,서울특별시 용산구 서빙고동(1117069000),여    ,5950,777,4195,2405,978,613,297,68
2010,서울특별시 용산구 보광동(1117070000),계    ,18461,1936,14297,8540,2228,1485,579,164
2010,서울특별시 용산구 보광동(1117070000),남    ,8942,1035,6983,4248,924,648,224,52
2010,서울특별시 용산구 보광동(1117070000),여    ,9519,901,7314,4292,1304,837,355,112
2010,서울특별시 성동구 (1120000000),계    ,309093,42063,235041,139131,31989,21693,8216,2080
2010,서울특별시 성동구 (1120000000),남    ,155067,21456,119963,71914,13648,9957,3101,590
2010,서울특별시 성동구 (1120000000),여    ,154026,20607,115078,67217,18341,11736,5115,1490
2010,서울특별시 성동구 왕십리제2동(1120052000),계    ,18943,2608,14392,8443,1943,1313,489,141
2010,서울특별시 성동구 왕십리제2동(1120052000),남    ,9437,1340,7258,4294,839,607,194,38
2010,서울특별시 성동구 왕십리제2동(1120052000),여    ,9506,1268,7134,4149,1104,706,295,103
2010,서울특별시 성동구 왕십리도선동(1120053500),계    ,13045,1439,9933,5656,1673,1119,427,127
2010,서울특별시 성동구 왕십리도선동(1120053500),남    ,6524,724,5084,2925,716,514,162,40
2010,서울특별시 성동구 왕십리도선동(1120053500),여    ,6521,715,4849,2731,957,605,265,87
2010,서울특별시 성동구 마장동(1120054000),계    ,25826,3663,19512,11136,2651,1760,717,174
2010,서울특별시 성동구 마장동(1120054000),남    ,12994,1904,9990,5747,1100,790,265,45
2010,서울특별시 성동구 마장동(1120054000),여    ,12832,1759,9522,5389,1551,970,452,129
2010,서울특별시 성동구 사근동(1120055000),계    ,10746,936,8621,4951,1189,836,276,77
2010,서울특별시 성동구 사근동(1120055000),남    ,5717,466,4707,2842,544,400,116,28
2010,서울특별시 성동구 사근동(1120055000),여    ,5029,470,3914,2109,645,436,160,49
2010,서울특별시 성동구 행당제1동(1120056000),계    ,17998,2354,13689,8131,1955,1324,512,119
2010,서울특별시 성동구 행당제1동(1120056000),남    ,8884,1199,6859,4113,826,611,183,32
2010,서울특별시 성동구 행당제1동(1120056000),여    ,9114,1155,6830,4018,1129,713,329,87
2010,서울특별시 성동구 행당제2동(1120057000),계    ,25996,4628,18971,11603,2397,1596,619,182
2010,서울특별시 성동구 행당제2동(1120057000),남    ,12502,2233,9278,5701,991,705,236,50
2010,서울특별시 성동구 행당제2동(1120057000),여    ,13494,2395,9693,5902,1406,891,383,132
2010,서울특별시 성동구 응봉동(1120058000),계    ,17607,3038,12732,7871,1837,1254,477,106
2010,서울특별시 성동구 응봉동(1120058000),남    ,8471,1525,6150,3838,796,582,176,38
2010,서울특별시 성동구 응봉동(1120058000),여    ,9136,1513,6582,4033,1041,672,301,68
2010,서울특별시 성동구 금호1가동(1120059000),계    ,16077,2323,11974,6975,1780,1180,480,120
2010,서울특별시 성동구 금호1가동(1120059000),남    ,7844,1201,5925,3489,718,521,165,32
2010,서울특별시 성동구 금호1가동(1120059000),여    ,8233,1122,6049,3486,1062,659,315,88
2010,서울특별시 성동구 금호2.3가동(1120061500),계    ,22705,2939,16974,10007,2792,1892,720,180
2010,서울특별시 성동구 금호2.3가동(1120061500),남    ,11073,1480,8427,5021,1166,852,259,55
2010,서울특별시 성동구 금호2.3가동(1120061500),여    ,11632,1459,8547,4986,1626,1040,461,125
2010,서울특별시 성동구 금호4가동(1120062000),계    ,15330,2099,11594,7161,1637,1117,412,108
2010,서울특별시 성동구 금호4가동(1120062000),남    ,7555,1091,5791,3612,673,492,151,30
2010,서울특별시 성동구 금호4가동(1120062000),여    ,7775,1008,5803,3549,964,625,261,78
2010,서울특별시 성동구 옥수동(1120064500),계    ,24358,3092,18335,10694,2931,1884,823,224
2010,서울특별시 성동구 옥수동(1120064500),남    ,11956,1649,9073,5391,1234,830,330,74
2010,서울특별시 성동구 옥수동(1120064500),여    ,12402,1443,9262,5303,1697,1054,493,150
2010,서울특별시 성동구 성수1가제1동(1120065000),계    ,18398,2889,14009,8517,1500,1028,393,79
2010,서울특별시 성동구 성수1가제1동(1120065000),남    ,9468,1485,7324,4462,659,478,158,23
2010,서울특별시 성동구 성수1가제1동(1120065000),여    ,8930,1404,6685,4055,841,550,235,56
2010,서울특별시 성동구 성수1가제2동(1120066000),계    ,19026,2421,14981,9127,1624,1139,377,108
2010,서울특별시 성동구 성수1가제2동(1120066000),남    ,9696,1231,7747,4785,718,553,137,28
2010,서울특별시 성동구 성수1가제2동(1120066000),여    ,9330,1190,7234,4342,906,586,240,80
2010,서울특별시 성동구 성수2가제1동(1120067000),계    ,21346,2703,16697,9650,1946,1354,481,111
2010,서울특별시 성동구 성수2가제1동(1120067000),남    ,11092,1366,8898,5175,828,622,183,23
2010,서울특별시 성동구 성수2가제1동(1120067000),여    ,10254,1337,7799,4475,1118,732,298,88
2010,서울특별시 성동구 성수2가제3동(1120069000),계    ,12133,1396,9542,5580,1195,817,298,80
2010,서울특별시 성동구 성수2가제3동(1120069000),남    ,6258,723,5001,2996,534,395,118,21
2010,서울특별시 성동구 성수2가제3동(1120069000),여    ,5875,673,4541,2584,661,422,180,59
2010,서울특별시 성동구 송정동(1120072000),계    ,12520,1541,9846,5881,1133,776,290,67
2010,서울특별시 성동구 송정동(1120072000),남    ,6630,792,5347,3288,491,370,108,13
2010,서울특별시 성동구 송정동(1120072000),여    ,5890,749,4499,2593,642,406,182,54
2010,서울특별시 성동구 용답동(1120079000),계    ,17039,1994,13239,7748,1806,1304,425,77
2010,서울특별시 성동구 용답동(1120079000),남    ,8966,1047,7104,4235,815,635,160,20
2010,서울특별시 성동구 용답동(1120079000),여    ,8073,947,6135,3513,991,669,265,57
2010,서울특별시 광진구 (1121500000),계    ,375463,50148,293281,173075,32034,21851,7995,2188
2010,서울특별시 광진구 (1121500000),남    ,186024,25835,146136,86544,14053,10540,2915,598
2010,서울특별시 광진구 (1121500000),여    ,189439,24313,147145,86531,17981,11311,5080,1590
2010,서울특별시 광진구 화양동(1121571000),계    ,21499,1715,17994,11500,1790,1243,425,122
2010,서울특별시 광진구 화양동(1121571000),남    ,10646,885,8960,6002,801,598,165,38
2010,서울특별시 광진구 화양동(1121571000),여    ,10853,830,9034,5498,989,645,260,84
2010,서울특별시 광진구 군자동(1121573000),계    ,21836,2349,17433,10431,2054,1459,449,146
2010,서울특별시 광진구 군자동(1121573000),남    ,11039,1197,8929,5497,913,716,159,38
2010,서울특별시 광진구 군자동(1121573000),여    ,10797,1152,8504,4934,1141,743,290,108
2010,서울특별시 광진구 중곡제1동(1121574000),계    ,17082,1908,13606,8185,1568,1115,339,114
2010,서울특별시 광진구 중곡제1동(1121574000),남    ,8471,975,6777,4095,719,564,121,34
2010,서울특별시 광진구 중곡제1동(1121574000),여    ,8611,933,6829,4090,849,551,218,80
2010,서울특별시 광진구 중곡제2동(1121575000),계    ,23034,3056,18040,10574,1938,1361,448,129
2010,서울특별시 광진구 중곡제2동(1121575000),남    ,11371,1544,8957,5223,870,662,172,36
2010,서울특별시 광진구 중곡제2동(1121575000),여    ,11663,1512,9083,5351,1068,699,276,93
2010,서울특별시 광진구 중곡제3동(1121576000),계    ,19762,2578,15458,9034,1726,1202,411,113
2010,서울특별시 광진구 중곡제3동(1121576000),남    ,9898,1329,7800,4579,769,587,146,36
2010,서울특별시 광진구 중곡제3동(1121576000),여    ,9864,1249,7658,4455,957,615,265,77
2010,서울특별시 광진구 중곡제4동(1121577000),계    ,32217,4179,25111,14041,2927,1998,713,216
2010,서울특별시 광진구 중곡제4동(1121577000),남    ,16034,2195,12588,7033,1251,954,237,60
2010,서울특별시 광진구 중곡제4동(1121577000),여    ,16183,1984,12523,7008,1676,1044,476,156
2010,서울특별시 광진구 능동(1121578000),계    ,10941,1150,8780,5582,1011,694,241,76
2010,서울특별시 광진구 능동(1121578000),남    ,5219,603,4159,2698,457,349,84,24
2010,서울특별시 광진구 능동(1121578000),여    ,5722,547,4621,2884,554,345,157,52
2010,서울특별시 광진구 광장동(1121581000),계    ,35522,7437,25577,15126,2508,1549,764,195
2010,서울특별시 광진구 광장동(1121581000),남    ,17340,3827,12480,7124,1033,673,306,54
2010,서울특별시 광진구 광장동(1121581000),여    ,18182,3610,13097,8002,1475,876,458,141
2010,서울특별시 광진구 자양제1동(1121582000),계    ,24710,2933,19522,11752,2255,1559,562,134
2010,서울특별시 광진구 자양제1동(1121582000),남    ,12308,1527,9781,5951,1000,748,223,29
2010,서울특별시 광진구 자양제1동(1121582000),여    ,12402,1406,9741,5801,1255,811,339,105
2010,서울특별시 광진구 자양제2동(1121583000),계    ,29440,4170,22882,13354,2388,1625,607,156
2010,서울특별시 광진구 자양제2동(1121583000),남    ,14785,2188,11528,6700,1069,814,210,45
2010,서울특별시 광진구 자양제2동(1121583000),여    ,14655,1982,11354,6654,1319,811,397,111
2010,서울특별시 광진구 자양제3동(1121584000),계    ,32298,5226,24796,14075,2276,1473,637,166
2010,서울특별시 광진구 자양제3동(1121584000),남    ,15942,2672,12339,6859,931,680,208,43
2010,서울특별시 광진구 자양제3동(1121584000),여    ,16356,2554,12457,7216,1345,793,429,123
2010,서울특별시 광진구 자양제4동(1121584700),계    ,26781,2604,21579,12488,2598,1821,641,136
2010,서울특별시 광진구 자양제4동(1121584700),남    ,13701,1318,11222,6650,1161,878,246,37
2010,서울특별시 광진구 자양제4동(1121584700),여    ,13080,1286,10357,5838,1437,943,395,99
2010,서울특별시 광진구 구의제1동(1121585000),계    ,23094,2567,18519,11533,2008,1415,479,114
2010,서울특별시 광진구 구의제1동(1121585000),남    ,11179,1326,8946,5681,907,693,182,32
2010,서울특별시 광진구 구의제1동(1121585000),여    ,11915,1241,9573,5852,1101,722,297,82
2010,서울특별시 광진구 구의제2동(1121586000),계    ,26834,3818,20463,11870,2553,1756,626,171
2010,서울특별시 광진구 구의제2동(1121586000),남    ,13334,1964,10262,6012,1108,848,223,37
2010,서울특별시 광진구 구의제2동(1121586000),여    ,13500,1854,10201,5858,1445,908,403,134
2010,서울특별시 광진구 구의제3동(1121587000),계    ,30413,4458,23521,13530,2434,1581,653,200
2010,서울특별시 광진구 구의제3동(1121587000),남    ,14757,2285,11408,6440,1064,776,233,55
2010,서울특별시 광진구 구의제3동(1121587000),여    ,15656,2173,12113,7090,1370,805,420,145
2010,서울특별시 동대문구 (1123000000),계    ,366786,46546,277716,157781,42524,29134,10730,2660
2010,서울특별시 동대문구 (1123000000),남    ,184874,23915,142213,82497,18746,13778,4153,815
2010,서울특별시 동대문구 (1123000000),여    ,181912,22631,135503,75284,23778,15356,6577,1845
2010,서울특별시 동대문구 용신동(1123053600),계    ,33017,3432,25209,14370,4376,3031,1085,260
2010,서울특별시 동대문구 용신동(1123053600),남    ,17200,1817,13376,7803,2007,1496,435,76
2010,서울특별시 동대문구 용신동(1123053600),여    ,15817,1615,11833,6567,2369,1535,650,184
2010,서울특별시 동대문구 제기동(1123054500),계    ,28308,3158,21178,11757,3972,2644,1071,257
2010,서울특별시 동대문구 제기동(1123054500),남    ,14468,1596,11109,6418,1763,1241,439,83
2010,서울특별시 동대문구 제기동(1123054500),여    ,13840,1562,10069,5339,2209,1403,632,174
2010,서울특별시 동대문구 전농제1동(1123056000),계    ,28091,3226,21014,11545,3851,2688,922,241
2010,서울특별시 동대문구 전농제1동(1123056000),남    ,14542,1666,11146,6252,1730,1253,392,85
2010,서울특별시 동대문구 전농제1동(1123056000),여    ,13549,1560,9868,5293,2121,1435,530,156
2010,서울특별시 동대문구 전농제2동(1123057000),계    ,20163,2983,14838,8283,2342,1617,615,110
2010,서울특별시 동대문구 전농제2동(1123057000),남    ,9899,1519,7355,4121,1025,736,250,39
2010,서울특별시 동대문구 전농제2동(1123057000),여    ,10264,1464,7483,4162,1317,881,365,71
