기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2014,"서울특별시 성동구 왕십리제2동(1120052000)",남    ,8140,980,6281,3428,879,591,233,55
2014,"서울특별시 성동구 왕십리제2동(1120052000)",여    ,8312,942,6207,3397,1163,717,341,105
2014,"서울특별시 성동구 왕십리도선동(1120053500)",계    ,15697,1618,11948,6575,2131,1293,658,180
2014,"서울특별시 성동구 왕십리도선동(1120053500)",남    ,7693,824,5959,3265,910,597,262,51
2014,"서울특별시 성동구 왕십리도선동(1120053500)",여    ,8004,794,5989,3310,1221,696,396,129
2014,"서울특별시 성동구 마장동(1120054000)",계    ,24509,2818,18616,9881,3075,1978,880,217
2014,"서울특별시 성동구 마장동(1120054000)",남    ,12164,1466,9333,4946,1365,942,365,58
2014,"서울특별시 성동구 마장동(1120054000)",여    ,12345,1352,9283,4935,1710,1036,515,159
2014,"서울특별시 성동구 사근동(1120055000)",계    ,11206,857,8986,4988,1363,886,381,96
2014,"서울특별시 성동구 사근동(1120055000)",남    ,5863,411,4863,2838,589,402,163,24
2014,"서울특별시 성동구 사근동(1120055000)",여    ,5343,446,4123,2150,774,484,218,72
2014,"서울특별시 성동구 행당제1동(1120056000)",계    ,15103,1667,11460,6257,1976,1278,562,136
2014,"서울특별시 성동구 행당제1동(1120056000)",남    ,7431,845,5727,3127,859,594,224,41
2014,"서울특별시 성동구 행당제1동(1120056000)",여    ,7672,822,5733,3130,1117,684,338,95
2014,"서울특별시 성동구 행당제2동(1120057000)",계    ,26307,4160,19143,11182,3004,1891,869,244
2014,"서울특별시 성동구 행당제2동(1120057000)",남    ,12524,2008,9255,5436,1261,846,344,71
2014,"서울특별시 성동구 행당제2동(1120057000)",여    ,13783,2152,9888,5746,1743,1045,525,173
2014,"서울특별시 성동구 응봉동(1120058000)",계    ,17103,2636,12260,7086,2207,1396,662,149
2014,"서울특별시 성동구 응봉동(1120058000)",남    ,8169,1297,5925,3398,947,634,269,44
2014,"서울특별시 성동구 응봉동(1120058000)",여    ,8934,1339,6335,3688,1260,762,393,105
2014,"서울특별시 성동구 금호1가동(1120059000)",계    ,14014,1738,10349,5698,1927,1159,619,149
2014,"서울특별시 성동구 금호1가동(1120059000)",남    ,6815,917,5112,2841,786,513,238,35
2014,"서울특별시 성동구 금호1가동(1120059000)",여    ,7199,821,5237,2857,1141,646,381,114
2014,"서울특별시 성동구 금호2.3가동(1120061500)",계    ,22847,2795,16919,9792,3133,1985,917,231
2014,"서울특별시 성동구 금호2.3가동(1120061500)",남    ,11070,1422,8316,4861,1332,897,360,75
2014,"서울특별시 성동구 금호2.3가동(1120061500)",여    ,11777,1373,8603,4931,1801,1088,557,156
2014,"서울특별시 성동구 금호4가동(1120062000)",계    ,14825,1977,11030,6545,1818,1167,516,135
2014,"서울특별시 성동구 금호4가동(1120062000)",남    ,7185,1008,5419,3219,758,519,205,34
2014,"서울특별시 성동구 금호4가동(1120062000)",여    ,7640,969,5611,3326,1060,648,311,101
2014,"서울특별시 성동구 옥수동(1120064500)",계    ,23261,3193,17255,10157,2813,1683,866,264
2014,"서울특별시 성동구 옥수동(1120064500)",남    ,11146,1638,8289,4893,1219,773,358,88
2014,"서울특별시 성동구 옥수동(1120064500)",여    ,12115,1555,8966,5264,1594,910,508,176
2014,"서울특별시 성동구 성수1가제1동(1120065000)",계    ,17356,2172,13384,7404,1800,1126,554,120
2014,"서울특별시 성동구 성수1가제1동(1120065000)",남    ,8781,1112,6885,3766,784,509,227,48
2014,"서울특별시 성동구 성수1가제1동(1120065000)",여    ,8575,1060,6499,3638,1016,617,327,72
2014,"서울특별시 성동구 성수1가제2동(1120066000)",계    ,17687,1998,13776,8049,1913,1263,525,125
2014,"서울특별시 성동구 성수1가제2동(1120066000)",남    ,8964,1018,7075,4162,871,630,205,36
2014,"서울특별시 성동구 성수1가제2동(1120066000)",여    ,8723,980,6701,3887,1042,633,320,89
